topic,rank,word,probability
0,1,ok,0.021467560902237892
0,2,go,0.017673922702670097
0,3,im,0.017598329111933708
0,4,call,0.0161280557513237
0,5,get,0.01512823160737753
0,6,come,0.013550866395235062
0,7,got,0.01103958860039711
0,8,time,0.010897256433963776
0,9,good,0.009429306723177433
0,10,like,0.009130694903433323
0,11,want,0.009052146226167679
0,12,ill,0.008631175383925438
0,13,know,0.008532698266208172
0,14,dont,0.008496797643601894
0,15,home,0.008280946873128414
0,16,ltgt,0.007940339855849743
0,17,sorri,0.007847649045288563
0,18,see,0.007255393546074629
0,19,love,0.007026899140328169
0,20,still,0.006938314996659756
1,1,princess,0.013624913990497589
1,2,place,0.012208690866827965
1,3,nice,0.010858634486794472
1,4,heart,0.010126681067049503
1,5,pay,0.009937102906405926
1,6,give,0.009130389429628849
1,7,day,0.008977883495390415
1,8,hous,0.008553089573979378
1,9,chang,0.008512739092111588
1,10,pl,0.0081065958365798
1,11,need,0.007957274094223976
1,12,away,0.007850033231079578
1,13,head,0.007626023609191179
1,14,smile,0.007600571494549513
1,15,one,0.00756969815120101
1,16,walk,0.007568864151835442
1,17,better,0.007496677804738283
1,18,sm,0.007358557544648647
1,19,ltdecimalgt,0.007356350310146809
1,20,sweet,0.00714725349098444
2,1,show,0.01798516884446144
2,2,wish,0.01594705693423748
2,3,servic,0.013087890110909939
2,4,account,0.011616071686148643
2,5,hungri,0.011519556865096092
2,6,point,0.010671126656234264
2,7,remain,0.010450863279402256
2,8,real,0.01025082916021347
2,9,train,0.009799284860491753
2,10,custom,0.009751474484801292
2,11,hold,0.009147140197455883
2,12,disturb,0.0090902429074049
2,13,doesnt,0.008943318389356136
2,14,stuff,0.008839777670800686
2,15,tampa,0.008823609910905361
2,16,receiv,0.008788581006228924
2,17,sinc,0.00862098578363657
2,18,yesterday,0.00861451867967844
2,19,stop,0.008488398976624012
2,20,stand,0.00842549093067646
3,1,free,0.031165681779384613
3,2,txt,0.026760855689644814
3,3,mobil,0.015904894098639488
3,4,ur,0.012810119427740574
3,5,wanna,0.012753649614751339
3,6,claim,0.012740213423967361
3,7,cash,0.011442499235272408
3,8,everi,0.01124499924480915
3,9,award,0.011118537746369839
3,10,may,0.010687864385545254
3,11,repli,0.010257408954203129
3,12,msg,0.010214845649898052
3,13,tone,0.010202029719948769
3,14,shop,0.010019403882324696
3,15,bit,0.009661735966801643
3,16,win,0.009642699733376503
3,17,nokia,0.00957767479121685
3,18,text,0.009348060935735703
3,19,contact,0.008454626426100731
3,20,chanc,0.008406675420701504
4,1,ju,0.022379953414201736
4,2,sent,0.01949242502450943
4,3,prob,0.01751110889017582
4,4,anytim,0.01749345287680626
4,5,said,0.017453398555517197
4,6,okay,0.016963955014944077
4,7,amt,0.016264954581856728
4,8,saw,0.015518458560109138
4,9,best,0.015448534861207008
4,10,line,0.01455964520573616
4,11,normal,0.014170029200613499
4,12,id,0.01407372485846281
4,13,wake,0.014026205986738205
4,14,chennai,0.01397932693362236
4,15,hr,0.01344473846256733
4,16,found,0.01332122553139925
4,17,price,0.013204043731093407
4,18,onlin,0.012874343432486057
4,19,correct,0.01252901740372181
4,20,dnt,0.01244925893843174
